Model,Specs, Selling_Price_SGM_MXN , Retail_New_Price_MXN ,Savings_Percentage,Category
Dell XPS 13 9345,"Snapdragon X Elite, 16GB RAM, 1TB SSD, OLED 13.4"," $23,999.00 "," $42,999.00 ",44.20%,Workstation
Dell XPS 15 9530,"Intel i9-13900H, 32GB RAM, 1TB SSD, RTX 4060, 4K"," $31,999.00 "," $58,500.00 ",45.30%,Workstation
Dell Precision 7780,"Intel i7-13850HX, 64GB RAM, 1TB SSD, RTX 3500 ADA"," $32,499.00 "," $68,000.00 ",52.20%,High-End Workstation
Dell Pro Max 16 Plus,"Intel Ultra 7-265HX, 32GB RAM, 512GB SSD, RTX Pro 1000"," $39,999.00 "," $75,000.00 ",46.70%,High-End Workstation
Dell Precision 7680,"Intel i7-13850HX, 32GB RAM, 1TB SSD, RTX 2000 ADA"," $32,999.00 "," $58,000.00 ",43.10%,High-End Workstation
Dell Precision 5690,"Intel Ultra 7-165H, 32GB RAM, 1TB SSD, RTX 2000 ADA"," $32,999.00 "," $84,900.00 ",61.10%,High-End Workstation
Dell Precision 5680,"Intel i7-13800H, 32GB RAM, 1TB SSD, RTX A1000"," $27,999.00 "," $52,000.00 ",46.20%,Workstation
Dell Precision 3490,"Intel Ultra 7-155H, 32GB RAM, 512GB SSD, RTX 500 ADA"," $18,499.00 "," $38,500.00 ",52.00%,Workstation
Dell Pro 14,"Intel Ultra 5-235U, 16GB RAM, 512GB SSD"," $14,999.00 "," $22,000.00 ",31.80%,Office
Dell Pro Rugged 14,"Intel Ultra 5-125U, 32GB RAM, 512GB SSD"," $26,999.00 "," $55,000.00 ",50.90%,Industrial Focus
Dell Pro Max 14,"Intel Ultra 5-235H, 16GB RAM, 512GB SSD, Arc Graphics"," $16,699.00 "," $26,000.00 ",35.80%,Office
Dell Precision 3591,"Intel Ultra 7-165H, 32GB RAM, 1TB SSD, RTX 1000 ADA"," $22,999.00 "," $44,000.00 ",47.70%,Workstation
Dell Latitude 3420,"Intel i5-1135G7, 16GB RAM, 512GB SSD, Iris Xe"," $6,049.00 "," $12,500.00 ",51.60%,Office
Dell Latitude 3420,"Intel i5-1135G7, 16GB RAM, 512GB SSD, MX450"," $6,508.00 "," $13,500.00 ",51.80%,Office
Dell Latitude 5410,"Intel i5-10310U, 16GB RAM, 256GB SSD"," $5,999.00 "," $11,500.00 ",47.80%,Office
Dell Latitude 7410,"Intel i7-10610U, 16GB RAM, 512GB SSD"," $6,999.00 "," $14,500.00 ",51.70%,Office
Dell Precision 5550,"Intel i7-10750H, 32GB RAM, 512GB SSD, T1000"," $11,096.00 "," $28,000.00 ",60.40%,Workstation
Dell Pro 14 Plus,"Intel Ultra 5-235U vPro, 16GB RAM, 512GB SSD"," $14,999.00 "," $24,500.00 ",38.80%,Office
Dell Inspiron 16 5630,"Intel i7-1360P, 16GB RAM, 512GB SSD, RTX 2050"," $15,799.00 "," $26,500.00 ",40.40%,Workstation
Dell Pro 14,"Intel Ultra 7-235U, 32GB RAM, 512GB SSD"," $16,624.00 "," $28,500.00 ",41.70%,Office
Lenovo ThinkPad T470,"Intel i5-6200U, 8GB RAM, 256GB SSD"," $4,999.00 "," $9,500.00 ",47.40%,Office
Lenovo ThinkPad T14s Gen 6,"Intel Ultra 5-235U, 16GB RAM, 512GB SSD"," $15,674.00 "," $31,000.00 ",49.40%,Office
Lenovo LOQ 15,"Ryzen 5-7235HS, 16GB RAM, 512GB SSD, RTX 4050"," $18,499.00 "," $25,500.00 ",27.50%,Gaming
Lenovo ThinkPad T495s,"Ryzen 7-3700U Pro, 16GB RAM, 512GB SSD"," $6,638.00 "," $13,000.00 ",48.90%,Office
HP Spectre x360,"Intel i7-13700H, 16GB RAM, 1TB SSD, 3K Touch"," $26,729.00 "," $48,000.00 ",44.30%,Workstation
HP ZBook Firefly 16 G11,"Intel Ultra 7-155H, 16GB RAM, 512GB SSD, RTX A500"," $21,469.00 "," $38,000.00 ",43.50%,Workstation
HP ZBook Firefly 16 G11,"Intel Ultra 7-165H vPro, 32GB RAM, 512GB SSD, RTX 1000"," $28,499.00 "," $46,000.00 ",38.00%,Workstation
HP Pavilion Plus 14t,"Intel i7-1355U, 16GB RAM, 512GB SSD, QHD"," $13,499.00 "," $19,500.00 ",30.80%,Office
Cyberpowerpc Tracer V,"Intel i7-11800H, 16GB RAM, 512GB SSD, RTX 3050 Ti"," $12,999.00 "," $19,500.00 ",33.30%,Gaming
Acer Nitro 17,"Ryzen 7-7735HS, 32GB RAM, 1TB SSD, RTX 4050"," $20,199.00 "," $28,000.00 ",27.90%,Gaming
Gigabyte Aero X16,"Ryzen AI 7-350, 32GB RAM, 1TB SSD, RTX 5060"," $29,799.00 "," $45,000.00 ",33.80%,Gaming
